학교구분,학교명,본분교,지역,설립구분,도로명주소,지번주소,위도,경도,학교개교일
대학원,신경주대학교 문화관광복지대학원,본교,경북,사립,경상북도 경주시 태종로 188,경상북도 경주시 효현동 670,35.82926585,129.1632394,2014-03-01
대학원,전남대학교 정책대학원,본교,광주,국립,광주광역시 북구 용봉로 45,광주광역시 북구 용봉동 300,35.1729465,126.9011018,1979-12-05
대학원,한서대학교 항공정보산업대학원,본교,충남,사립,충청남도 서산시 해미면 한서1로 46,충청남도 서산시 해미면 대곡리 8,36.69071573,126.5869649,2014-03-01
대학,신한대학교,제2캠퍼스,경기,사립,경기도 의정부시 호암로 95,경기도 의정부시 호원동 117-1,37.71019077,127.0463011,2014-03-01
대학원,한양대학교 부동산융합대학원,본교,서울,사립,서울특별시 성동구 왕십리로 222,서울특별시 성동구 사근동 110,37.55450355,127.0466112,2014-09-01
대학원,부산대학교 기술창업대학원,본교,부산,국립,부산광역시 금정구 부산대학로63번길 2,부산광역시 금정구 장전동 40,35.2322428,129.0838245,2014-09-01
대학원,아주대학교 교통ITS대학원,본교,경기,사립,경기도 수원시 영통구 월드컵로 206,경기도 수원시 영통구 원천동 산 5-1,37.28305638,127.04366,2003-03-03
대학원,아주대학교 공학대학원,본교,경기,사립,경기도 수원시 영통구 월드컵로 206,경기도 수원시 영통구 원천동 산 5-1,37.28305638,127.04366,1985-03-01
대학원,연세대학교(미래) 정경・창업대학원,분교,강원,사립,강원특별자치도 원주시 흥업면 연세대길 1,강원특별자치도 원주시 흥업면 매지리 1496,37.2748331,127.9043277,2014-09-01
대학원,국민대학교 글로벌 창업벤처대학원,본교,서울,사립,서울특별시 성북구 정릉로 77,서울특별시 성북구 정릉동 861-1,37.61028784,126.9985206,2014-09-01
대학원,전주대학교 상담심리대학원,본교,전북,사립,전북특별자치도 전주시 완산구 천잠로 303,전북특별자치도 전주시 완산구 효자동2가 1080,35.81616417,127.0888841,1999-11-02
대학원,성균관대학교 글로벌창업대학원,본교,서울,사립,서울특별시 종로구 성균관로 25-2,서울특별시 종로구 명륜3가 53-21,37.58722841,126.9931151,2014-09-01
대학원,계명대학교 글로벌창업대학원,본교,대구,사립,대구광역시 남구 명덕로 104,대구광역시 남구 대명동 2139-11,35.85552317,128.5793157,2014-09-01
대학원대학,치유상담대학원대학교,본교,서울,사립,서울특별시 서초구 서초대로 121,서울특별시 서초구 방배동 877-15,37.48852979,126.9954614,2014-09-01
대학원대학,능인대학원대학교,본교,경기,사립,경기도 화성시 팔탄면 3.1만세로 694-57,경기도 화성시 팔탄면 해창리 95-5,37.10575815,126.8793728,2014-09-01
대학원,서울대학교 국제농업기술대학원,본교,강원,국립대법인,강원특별자치도 평창군 대화면 평창대로 1447-1,강원특별자치도 평창군 대화면 신리 1995-13,37.53657243,128.4366107,2014-06-25
대학원,순천향대학교 기술경영행정대학원,본교,충남,사립,충청남도 아산시 신창면 순천향로 22,충청남도 아산시 신창면 읍내리 646,36.77137189,126.9341338,2015-03-01
대학원,성결대학교 프라임(Prime) 대학원,본교,경기,사립,경기도 안양시 만안구 성결대학로 53,경기도 안양시 만안구 안양동 400-10,37.37986572,126.9288104,2015-03-01
대학원,성결대학교 신학대학원,본교,경기,사립,경기도 안양시 만안구 성결대학로 53,경기도 안양시 만안구 안양동 400-10,37.37986572,126.9288104,2015-03-01
대학원,대구한의대학교 보건・복지대학원,본교,경북,사립,경상북도 경산시 한의대로 1,경상북도 경산시 유곡동 290-1,35.79398805,128.7773243,2014-10-08
대학원,청주대학교 보건의료대학원,본교,충북,사립,충청북도 청주시 청원구 대성로 298,충청북도 청주시 청원구 내덕동 36,36.6508565,127.4951991,2014-12-12
대학원,한세대학교 스포츠경영대학원,본교,경기,사립,경기도 군포시 한세로 30,경기도 군포시 당정동 964-1,37.34414801,126.9538537,2015-03-01
대학원,한세대학교 심리상담대학원,본교,경기,사립,경기도 군포시 한세로 30,경기도 군포시 당정동 964-1,37.34414801,126.9538537,2015-03-01
대학원,국민대학교 자동차산업대학원,본교,서울,사립,서울특별시 성북구 정릉로 77,서울특별시 성북구 정릉동 861-1,37.61028784,126.9985206,1993-03-01
대학원,가톨릭대학교 글로벌융합대학원,본교,경기,사립,서울특별시 서초구 반포대로 222,서울특별시 서초구 반포동 505,37.50239362,127.0058606,2015-03-01
대학원,단국대학교 정보·지식재산대학원,본교,경기,사립,경기도 용인시 수지구 죽전로 152,경기도 용인시 수지구 죽전동 1491,37.32119387,127.1325359,1998-03-01
대학원,강남대학교 부동산·법무·행정대학원,본교,경기,사립,경기도 용인시 기흥구 강남로 40,경기도 용인시 기흥구 구갈동 111,37.27412539,127.1320999,2015-03-02
대학원,제주국제대학교 글로벌제주학융합대학원,본교,제주,사립,제주특별자치도 제주시 516로 2870,제주특별자치도 제주시 영평동 2235,33.44277325,126.5698311,2015-03-01
대학원,제주국제대학교 사회복지임상치료대학원,본교,제주,사립,제주특별자치도 제주시 516로 2870,제주특별자치도 제주시 영평동 2235,33.44277325,126.5698311,2015-03-01
대학원,성공회대학교 신학대학원,본교,서울,사립,서울특별시 구로구 연동로 320,서울특별시 구로구 항동 1-1,37.4875236,126.8261635,2015-03-01
대학원,우석대학교 국방정책대학원,본교,전북,사립,전북특별자치도 완주군 삼례읍 삼례로 443,전북특별자치도 완주군 삼례읍 후정리 490,35.91154155,127.067695,2014-11-27
대학원,신라대학교 공공안전정책대학원,본교,부산,사립,부산광역시 사상구 백양대로700번길 140,부산광역시 사상구 괘법동 산 1-23,35.17204045,128.997735,2015-03-01
대학원,경남대학교 산업경영대학원,본교,경남,사립,경상남도 창원시 마산합포구 경남대학로 7,경상남도 창원시 마산합포구 월영동 449,35.18432093,128.5550964,2015-03-01
대학원,중앙대학교 사회복지대학원,본교,서울,사립,서울특별시 동작구 흑석로 84,서울특별시 동작구 흑석동 221,37.50472672,126.9538339,2015-03-01
